OMRÅDE;CIVILSTAND;TID;INDHOLD
All Denmark;Never married;2008Q1;2552700
All Denmark;Never married;2008Q2;2563134
All Denmark;Never married;2008Q3;2564705
All Denmark;Never married;2008Q4;2568255
All Denmark;Never married;2009Q1;2575185
All Denmark;Never married;2009Q2;2584993
All Denmark;Never married;2009Q3;2584560
All Denmark;Never married;2009Q4;2588198
All Denmark;Never married;2010Q1;2593172
All Denmark;Never married;2010Q2;2604129
All Denmark;Never married;2010Q3;2604479
All Denmark;Never married;2010Q4;2610799
All Denmark;Never married;2011Q1;2616048
All Denmark;Never married;2011Q2;2626084
All Denmark;Never married;2011Q3;2627295
All Denmark;Never married;2011Q4;2634540
All Denmark;Never married;2012Q1;2639530
All Denmark;Never married;2012Q2;2649701
All Denmark;Never married;2012Q3;2650422
All Denmark;Never married;2012Q4;2657677
All Denmark;Never married;2013Q1;2662659
All Denmark;Never married;2013Q2;2673091
All Denmark;Never married;2013Q3;2675409
All Denmark;Never married;2013Q4;2681019
All Denmark;Never married;2014Q1;2687098
All Denmark;Never married;2014Q2;2698124
All Denmark;Never married;2014Q3;2700182
All Denmark;Never married;2014Q4;2709113
All Denmark;Never married;2015Q1;2714540
All Denmark;Never married;2015Q2;2727425
All Denmark;Never married;2015Q3;2732381
All Denmark;Never married;2015Q4;2744254
All Denmark;Never married;2016Q1;2753160
All Denmark;Never married;2016Q2;2766337
All Denmark;Never married;2016Q3;2769775
All Denmark;Never married;2016Q4;2780475
All Denmark;Never married;2017Q1;2785800
All Denmark;Never married;2017Q2;2797744
All Denmark;Never married;2017Q3;2798842
All Denmark;Never married;2017Q4;2806141
All Denmark;Never married;2018Q1;2811181
All Denmark;Never married;2018Q2;2821044
All Denmark;Never married;2018Q3;2821394
All Denmark;Never married;2018Q4;2827695
All Denmark;Never married;2019Q1;2830166
All Denmark;Never married;2019Q2;2840546
All Denmark;Never married;2019Q3;2840316
All Denmark;Never married;2019Q4;2845453
All Denmark;Never married;2020Q1;2844060
All Denmark;Never married;2020Q2;2851131
All Denmark;Never married;2020Q3;2854659
All Denmark;Never married;2020Q4;2859116
All Denmark;Never married;2021Q1;2861497
All Denmark;Never married;2021Q2;2870485
All Denmark;Never married;2021Q3;2876672
All Denmark;Never married;2021Q4;2886458
All Denmark;Never married;2022Q1;2895240
All Denmark;Married/separated;2008Q1;2176977
All Denmark;Married/separated;2008Q2;2171174
All Denmark;Married/separated;2008Q3;2176196
All Denmark;Married/separated;2008Q4;2191033
All Denmark;Married/separated;2009Q1;2188259
All Denmark;Married/separated;2009Q2;2180280
All Denmark;Married/separated;2009Q3;2183708
All Denmark;Married/separated;2009Q4;2193779
All Denmark;Married/separated;2010Q1;2189368
All Denmark;Married/separated;2010Q2;2181819
All Denmark;Married/separated;2010Q3;2184152
All Denmark;Married/separated;2010Q4;2191517
All Denmark;Married/separated;2011Q1;2187702
All Denmark;Married/separated;2011Q2;2177947
All Denmark;Married/separated;2011Q3;2178670
All Denmark;Married/separated;2011Q4;2183712
All Denmark;Married/separated;2012Q1;2178131
All Denmark;Married/separated;2012Q2;2168562
All Denmark;Married/separated;2012Q3;2168353
All Denmark;Married/separated;2012Q4;2173196
All Denmark;Married/separated;2013Q1;2169369
All Denmark;Married/separated;2013Q2;2158728
All Denmark;Married/separated;2013Q3;2156743
All Denmark;Married/separated;2013Q4;2165925
All Denmark;Married/separated;2014Q1;2154621
All Denmark;Married/separated;2014Q2;2144763
All Denmark;Married/separated;2014Q3;2144241
All Denmark;Married/separated;2014Q4;2148451
All Denmark;Married/separated;2015Q1;2143625
All Denmark;Married/separated;2015Q2;2138481
All Denmark;Married/separated;2015Q3;2140400
All Denmark;Married/separated;2015Q4;2146756
All Denmark;Married/separated;2016Q1;2142540
All Denmark;Married/separated;2016Q2;2135923
All Denmark;Married/separated;2016Q3;2135953
All Denmark;Married/separated;2016Q4;2145540
All Denmark;Married/separated;2017Q1;2140830
All Denmark;Married/separated;2017Q2;2132454
All Denmark;Married/separated;2017Q3;2135608
All Denmark;Married/separated;2017Q4;2145883
All Denmark;Married/separated;2018Q1;2141429
All Denmark;Married/separated;2018Q2;2133673
All Denmark;Married/separated;2018Q3;2136954
All Denmark;Married/separated;2018Q4;2146813
All Denmark;Married/separated;2019Q1;2141704
All Denmark;Married/separated;2019Q2;2136452
All Denmark;Married/separated;2019Q3;2140880
All Denmark;Married/separated;2019Q4;2149938
All Denmark;Married/separated;2020Q1;2146017
All Denmark;Married/separated;2020Q2;2137608
All Denmark;Married/separated;2020Q3;2132092
All Denmark;Married/separated;2020Q4;2138124
All Denmark;Married/separated;2021Q1;2136102
All Denmark;Married/separated;2021Q2;2127486
All Denmark;Married/separated;2021Q3;2128338
All Denmark;Married/separated;2021Q4;2135786
All Denmark;Married/separated;2022Q1;2131016
All Denmark;Widowed;2008Q1;317250
